id,title
"2Lf5DvBsyiM4GzJSW","The Big Reveal: Docker Enterprise Container Cloud and Kubernetes"
"yfnGN4gv9r6dj37wC","Lens: The World's Most Popular Kubernetes IDE"
"srKma5kqCq6DmuYH9","Kubernetes on Any Infrastructure: Top to Bottom Tutorials for Docker Enterprise Container Cloud"
"xtXiFnYMCGS4sBCWG","Speed Kubernetes Dev and Ops with a Secure Software Supply Chain"
"ke5sB7FeqLzZmt7q9","CI/CD: Getting Started, No Matter Where You Are"
"Z29uL6dWEt5bS4LTA","Reliance Jio: OpenStack at Scale for Mobile Telecom Services"
"4d5uu3DiBT2iZFDM8","5 Things We Are Thinking About for the Future: AIOps and Other Things to Watch For"
"FdhWNp4jQor9rtELg","Long Live Swarm!"
"9qaNtepEBMEjESjFt","Mirantis OpenStack on Kubernetes: Revolutionizing OpenStack with Kubernetes"
"Fcqj2whcDRrjr3Go4","Securing Your Cloud, Everywhere"
"2Y55jLg3Zkwy6Fs3m","Why Multi-Cloud?"
"KEWLSaGAPMXyJmNng","Shaun O'Meara"
"6Mp5DdFFvqx4o6sJ4","SEB's Container Journey from Dev to Ops"
"ye35u2ASHQ2bExy9E","API Gateways and Conventional Ingress: Complementary Roles"
"HiknsZZPA5p9qFSX9","Docker CLI/Desktop to Kubernetes with Docker Enterprise Container Cloud"
"zR3yYo3imubqNbbih","Willem du Plessis"
"r9ZAeWRJpuzesgECq","Why Use IaaS When You Can Make Bare Metal Cloud-Native?"
"yqRknoXvDCsWheGj6","GSK: R&D Data Platform"
"f87okQtYbXH5hJw3P","Kubernetes and Docker Enterpriseâ€™s Role in Manufacturing with AI and ML: a Seagate Technology/Mirantis Presentation"
"euzXuFGaEqZYmunq2","S&P Global: Building a Multi-Cluster, Scalable Container Platform"
"eBsawmjgn6bdGzWZs","RBC & Winning the Roadmap Race: How to Work with Tech Vendors to Get the New Features You Need"
"KwHSp8TgrtyDMGQS9","Miska Kaipiainen"
"ddj6Sm745Pmja5FmK","Matti Paksula"